Estacion,No2,Latitud,Longitud,h3
4,23.915277777777778,40.4238823,-3.7122567,87390cb1bffffff
8,27.686111111111114,40.4215533,-3.6823158,87390ca26ffffff
11,24.77638888888889,40.4514734,-3.6773491,87390ca24ffffff
16,21.52638888888889,40.4400457,-3.6392422,87390ca25ffffff
17,30.92777777777778,40.347147,-3.7133167,87390cb89ffffff
18,20.720833333333335,40.3947825,-3.7318356,87390cba9ffffff
24,12.198611111111111,40.4193577,-3.7473445,87390cbadffffff
27,28.345833333333335,40.4769179,-3.5800258,87390cb51ffffff
35,37.26944444444444,40.4192091,-3.7031662,87390cb1bffffff
36,22.60972222222222,40.4079517,-3.6453104,87390ca22ffffff
38,20.6375,40.4455439,-3.7071303,87390cb19ffffff
39,22.623611111111114,40.4782322,-3.7115364,87390cb0effffff
40,23.975,40.3881478,-3.6515286,87390ca31ffffff
47,24.875,40.3980991,-3.6868138,87390ca35ffffff
48,22.95277777777778,40.4398904,-3.6903729,87390cb19ffffff
49,15.341666666666667,40.4144444,-3.6824999,87390ca35ffffff
50,24.806944444444447,40.4655841,-3.6887449,87390cb0affffff
54,25.709722222222222,40.3730118,-3.6121394,87390ca00ffffff
55,25.019444444444446,40.4623628,-3.5805649,87390cb53ffffff
56,29.716666666666665,40.3850336,-3.7187679,87390ca36ffffff
57,17.955555555555556,40.4942012,-3.6605173,87390cb09ffffff
58,9.844444444444443,40.5180701,-3.7746101,87390cb04ffffff
59,18.083333333333332,40.4607255,-3.6163407,87390cb52ffffff
60,15.20138888888889,40.5005477,-3.6897308,87390cb0cffffff
