ESTACION,avg,LATITUD,LONGITUD,hex_id
4,23.915277777777778,40.4238823,-3.7122567,88390cb1bdfffff
8,27.686111111111114,40.4215533,-3.6823158,88390ca265fffff
11,24.77638888888889,40.4514734,-3.6773491,88390ca24dfffff
16,21.52638888888889,40.4400457,-3.6392422,88390ca20bfffff
17,30.92777777777778,40.347147,-3.7133167,88390cb899fffff
18,20.720833333333335,40.3947825,-3.7318356,88390cba93fffff
24,12.198611111111111,40.4193577,-3.7473445,88390cbadbfffff
27,28.345833333333335,40.4769179,-3.5800258,88390cb515fffff
35,37.26944444444444,40.4192091,-3.7031662,88390cb1b1fffff
36,22.60972222222222,40.4079517,-3.6453104,88390ca223fffff
38,20.6375,40.4455439,-3.7071303,88390cb19dfffff
39,22.623611111111114,40.4782322,-3.7115364,88390cb0e5fffff
40,23.975,40.3881478,-3.6515286,88390ca313fffff
47,24.875,40.3980991,-3.6868138,88390ca355fffff
48,22.95277777777778,40.4398904,-3.6903729,88390cb191fffff
49,15.341666666666667,40.4144444,-3.6824999,88390ca265fffff
50,24.806944444444447,40.4655841,-3.6887449,88390cb0a1fffff
54,25.709722222222222,40.3730118,-3.6121394,88390ca001fffff
55,25.019444444444446,40.4623628,-3.5805649,88390cb531fffff
56,29.716666666666665,40.3850336,-3.7187679,88390ca36bfffff
57,17.955555555555556,40.4942012,-3.6605173,88390cb09dfffff
58,9.844444444444443,40.5180701,-3.7746101,88390cb049fffff
59,18.083333333333332,40.4607255,-3.6163407,88390cb529fffff
60,15.20138888888889,40.5005477,-3.6897308,88390cb0c1fffff
